"FS PEAK";"FS INT";"SS PEAK";"SS INT";"CD11b FITC";"LIN PE";"FL3 INT";"CD33 PCP55";"CD14 PC7";"CD34 APC";"CD15 EF450";"HLA DR V510";"TIME"
78112;436938;19968;120321;50623,72;1320,21;-2277,347;12266,06;40221,51;-1651,943;463,1714;4631,04;1466
94976;556202;19744;114070;28672,45;1005,649;-330,829;7373,563;37902,02;-1507,09;370,1093;2105,863;1477
74432;520867;28720;179924;38834,39;1873,417;1838,136;14166,1;40633,98;-1659,151;245,768;4832,876;1478
71760;413673;20288;123879;21939,52;610,8646;1253,949;12371,27;7219,265;-407,5938;658,0031;3757,68;1484
97424;568025;23136;134654;85358,73;418,0628;-6588,914;21734,11;43540,86;-2210,21;181,8652;900,1437;1485
61488;403091;13808;90553;49470,95;2050,61;-1533,544;13379,18;39490,13;-916,7416;277,3087;1944,445;1487
88320;517202;26544;165279;45959,04;129,3544;2754,592;31286,32;36495,18;143,5984;244,578;970,6525;1493
75792;509679;26416;174124;88821,36;90,69928;-216,2036;31546,11;48978,8;-3085,146;1575,807;1752,266;1495
61376;396368;24768;160877;55159,61;2303,167;-1288,777;22525,48;64784,36;-2543,029;355,498;4670,564;1511
47904;525309;21920;204610;20412,66;-6708,042;25667,53;8575,23;28196,04;-1331,162;432,4808;887,925;1517
88768;545480;22160;140320;41291,85;1449,844;-2230,231;16977,96;45367,8;-2066,133;525,7012;384,1546;1519
110016;700135;95648;550724;1526,791;1046,864;932,6031;1937,407;-94,13992;423,3849;23572,77;1272,573;1520
61984;517836;49632;342032;1743,602;-40,49591;1310,7;1212,513;648,4336;1197,911;2071,118;512,0638;1573
74304;484709;31328;194134;53605,91;976,2896;-4861,623;14772,82;19571,94;-1501,846;1809,77;246,9205;1575
90160;525022;19744;116805;24731,59;59,082;1980,813;10747,54;36456,58;-1209,455;-5,398926;1403,494;1576
70688;411832;25280;131680;3966,841;-1087,144;5960,878;7047,614;1754,62;1732,686;2692,403;546,7645;1578
118176;693230;23264;133194;8370,27;-110,2502;3915,611;2554,192;8710,256;-154,8097;-121,8124;6328,108;1580
91824;557043;19024;110190;28989,79;-401,9738;5717,58;6977,847;18522,89;-390,5272;278,3348;1828,494;1586
137216;854053;50400;297450;12658,64;-288,4148;2224,262;20628,75;-1594,232;126,4139;27396,45;213,1699;1588
34720;371172;25904;158221;5219,003;-32,08551;562,335;4393,008;3052,72;46,02228;354,0992;1316,049;1602
68912;429917;19200;128913;32080,75;2059,539;-2252,728;10003,05;21867,49;-1060,698;4184,113;163,851;1610
